   347: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   348: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   349: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   350: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   351: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   352: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   353: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   354: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   355: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   356: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   357: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   358: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
